sample,fitness,ok,failure_reason,peak_vram_mb,elapsed_s,n_levels,n_features_per_level,log2_hashmap_size,base_resolution,per_level_scale,n_neurons,n_hidden_layers,learning_rate,l2_reg
30,14.117108,True,,2505.6875,28.02396249771118,10,8,15,31,1.8900516570106016,64,2,0.0010066623141639528,1.1732503816608647e-05
31,13.599019,True,,2083.6875,16.520142793655396,13,2,15,6,1.822005946977971,16,2,0.014508170108339264,3.109468737788212e-06
32,12.693728,True,,2429.6875,28.023855924606323,14,4,17,4,1.6275853216344836,32,1,0.0001578770797588668,5.70561794178367e-08
33,12.435016,True,,3131.6875,43.532679080963135,16,8,17,17,1.4243296995377686,16,1,0.002256375042933801,5.58848971985112e-07
34,12.52942,True,,3583.6875,45.039199352264404,14,8,19,7,1.7882582503859235,64,2,0.0001378949307151422,6.890589141749921e-06
35,11.575169,True,,3177.6875,39.529807329177856,15,4,20,4,1.8351198079211808,64,3,0.0003830038856851434,3.828809576445516e-05
36,13.3153,True,,2363.6875,22.022961616516113,8,8,15,16,1.7701466759382043,128,1,0.014505428203339896,1.0011207493807257e-08
37,14.58405,True,,3503.6875,49.03317856788635,18,2,21,27,1.5977956333828836,64,3,0.002590444112031586,6.199239538599554e-07
38,14.3744135,True,,2109.6875,27.524322032928467,16,2,16,18,1.986986567027539,64,3,0.0010079539846601674,3.7915897069753643e-08
39,12.239083,True,,2153.6875,16.53710412979126,9,2,21,9,1.3605149289145844,64,2,0.0020281865048602157,1.906556832966385e-08
40,13.813208,True,,2291.6875,38.52728033065796,17,2,17,30,1.7040628866079368,128,2,0.01482261843094139,1.615291961491305e-05
41,13.26066,True,,6099.6875,56.03326344490051,18,4,22,12,1.3719404561911883,16,1,0.022998470495680642,3.8088738633843675e-08
42,12.879358,True,,2083.6875,16.01914143562317,10,2,15,25,1.2616774447347867,32,2,0.00021564752449101954,6.265254356197063e-08
43,13.914927,True,,4469.6875,50.532002687454224,9,8,21,23,1.6485751611253066,128,3,0.03735742095547907,2.3039280074710243e-08
44,13.441268,True,,3615.6875,35.52802014350891,10,8,20,26,1.420255854263373,16,3,0.030388492399764568,2.5219268380389836e-08
45,11.255489,True,,2913.6875,41.5303213596344,16,4,19,14,1.9078997969272447,16,2,0.0013640572692921518,2.297470818333895e-07
46,13.147069,True,,2965.6875,29.041287422180176,9,8,19,21,1.4638631301042142,64,1,0.0333713178379797,5.162369608617815e-07
47,12.662621,True,,4693.6875,49.53078603744507,15,8,20,9,1.7049995218066074,16,2,0.00015805916331873828,5.7331753001816413e-08
48,13.342581,True,,2885.6875,50.53468918800354,16,4,19,10,1.8477192526196948,128,3,0.00451325732924907,4.2772719366470547e-07
49,12.627367,True,,3117.6875,47.03499698638916,15,8,17,16,1.5401394372593513,128,1,0.0001606133916784258,2.103531673529948e-07
50,12.679369,True,,3447.6875,39.033162355422974,12,8,19,26,1.6475317372780518,16,1,0.004784112824125787,3.334360779079068e-08
51,10.363848,True,,2625.6875,40.531925439834595,18,4,17,20,1.3498906903319603,32,3,0.0011106460294649583,7.656310743240918e-05
52,12.554889,True,,4959.6875,45.031148195266724,13,8,21,21,1.272952958153605,64,1,0.0010948744805867718,3.5684083516579126e-07
53,12.671823,True,,2355.6875,22.5211980342865,16,4,15,7,1.3062270251794579,32,1,0.00042167403968615684,1.8671581208958666e-08
54,13.279399,True,,2365.6875,21.020986318588257,8,8,15,23,1.9992125722312464,16,3,0.007519840514560885,1.8636789611334543e-07
55,13.294254,True,,3275.6875,32.02640628814697,10,8,20,11,1.480109330264267,64,2,0.029924177706975568,7.252162746026263e-05
56,13.297907,True,,2431.6875,29.023499727249146,14,4,17,5,1.6540283898600538,128,1,0.0015130387283618463,3.9555838302809644e-07
57,12.813103,True,,2953.6875,35.53068423271179,15,8,16,11,1.2631772279947546,32,2,0.0005244408720395248,2.3824330459028187e-06
58,13.568916,True,,3411.6875,31.54299521446228,13,4,22,9,1.311564483055328,64,2,0.0015245213022066348,3.6056581761020327e-06
59,13.709604,True,,3929.6875,44.52935481071472,17,2,22,16,1.3416915626742396,16,1,0.012679177726240314,1.0538585282468363e-06
60,-50.0,False,OOM,1081.6875,1.5136382579803467,12,8,22,13,1.881160193267971,32,3,0.006870843318079818,5.930831226186789e-05
61,-50.0,False,OOM,1201.6875,1.5130386352539062,13,8,22,16,1.701905248236007,16,1,0.004913915504945331,1.6813402508359637e-05
62,12.729665,True,,3131.6875,45.53162741661072,15,8,17,19,1.8917968963258691,64,2,0.0035825866138609543,3.478344646852802e-05
63,12.343758,True,,4511.6875,53.534621477127075,16,4,21,21,1.6045489755026203,128,2,0.00012161600812863425,2.2901490505756837e-07
64,8.5619135,True,,3173.6875,26.523207902908325,9,8,21,14,1.3384314027919777,32,1,0.0009893451433970039,4.765424443339798e-08
65,12.562071,True,,2495.6875,33.52449679374695,15,2,20,7,1.627196863820051,16,3,0.00012320196174107158,4.8307393872406346e-05
66,13.274449,True,,2911.6875,45.03091049194336,11,8,18,10,1.6342282810993616,128,3,0.005743392885639702,5.32065880959445e-06
67,10.111153,True,,2075.6875,14.527033567428589,9,2,15,8,1.763059888241484,16,2,0.0032918833158608047,2.3002396657581646e-05
68,12.62209,True,,2909.6875,40.0288245677948,16,8,15,10,1.3100644827084917,64,3,0.00022762915427290679,9.784893590133128e-05
69,13.30265,True,,3509.6875,50.03347158432007,16,4,20,21,1.8744533020752847,128,2,0.033934465450750365,5.923472416047397e-07
70,13.519466,True,,2075.6875,18.022296667099,9,2,15,10,1.9963675527284441,64,3,0.0005583146916799739,3.268476507857317e-05
71,12.854954,True,,2121.6875,23.523027896881104,10,2,17,27,1.9136951330801426,16,3,0.00023946402980242336,7.671599037899615e-06
